186664
26489	24455	0
26158	24434	0
25057	24531	0
24835	24410	0
26205	24520	0
25754	24536	0
25896	24520	0
25257	24404	0
26270	24445	0
26765	24454	0
26683	24513	0
25039	24544	0
25298	24445	0
25558	24510	0
26226	24531	0
25306	24531	0
26370	24401	0
25843	24396	0
24692	24518	0
25628	24549	0
24906	24544	0
25345	24440	0
25821	24439	0
26680	24446	0
25900	24552	0
26242	24531	0
26277	24455	0
25751	24492	0
25411	24511	0
26222	24465	0
25109	24418	0
26932	24498	0
25819	24490	0
25677	24531	0
26409	24541	0
25873	24477	0
26775	24446	0
25617	24417	0
26442	24433	0
24572	24490	0
25167	24423	0
26873	24407	0
26870	24457	0
25490	24512	0
25903	24508	0
25834	24465	0
26026	24452	0
26302	24413	0
25291	24490	0
26306	24463	0
26608	24434	0
26140	24436	0
25919	24531	0
25128	24490	0
25126	24462	0
26116	24430	0
25321	24441	0
26934	24542	0
26674	24454	0
25841	24548	0
26742	24397	0
25838	24455	0
26748	24522	0
25737	24531	0
25690	24536	0
26593	24493	0
25968	24404	0
26922	24411	0
25986	24392	0
26503	24487	0
25507	24458	0
25553	24551	0
25672	24407	0
24996	24415	0
25114	24483	0
25546	24434	0
24795	24481	0
26112	24530	0
24704	24417	0
25054	24538	0
24604	24490	0
25155	24418	0
24582	24404	0
26056	24407	0
25405	24430	0
25977	24527	0
26553	24531	0
26157	24539	0
26250	24535	0
25487	24399	0
26744	24491	0
26338	24399	0
25647	24476	0
25997	24478	0
25454	24489	0
25622	24531	0
25560	24458	0
25554	24411	0
26862	24552	0
25535	24457	0
26956	24523	0
24642	24461	0
25667	24514	0
25693	24539	0
26617	24397	0
24832	24426	0
25406	24551	0
26161	24420	0
26488	24552	0
25730	24502	0
25276	24483	0
24648	24417	0
25359	24487	0
26064	24437	0
26648	24536	0
25178	24406	0
26043	24437	0
25539	24431	0
24703	24401	0
25960	24531	0
24924	24502	0
26928	24527	0
26571	24420	0
24690	24487	0
25187	24499	0
25249	24487	0
26829	24498	0
24673	24399	0
25828	24498	0
26836	24512	0
26842	24516	0
25805	24408	0
25336	24513	0
